"","GENENAME","estimate","se","p","fdr"
"PLA2G4C","PLA2G4C",1.5742859135462,0.418578819930408,1.84478635278025e-25,7.83113122580005e-25
"PLA2G6","PLA2G6",-0.958442236149463,0.0927050258988212,6.17578118300938e-46,5.9619078200617e-45
"PLA2G7","PLA2G7",3.12580583906948,0.524499809984829,2.60204002748916e-58,3.88121333924855e-57
"PLAA","PLAA",0.100185299657962,0.132304922310475,2.69936078492353e-10,5.3408396647182e-10
"PLAC8","PLAC8",1.22980080473016,0.104297935970235,5.99097120164598e-49,6.35566222933976e-48
"PLAG1","PLAG1",1.50503882301869,0.21800443429574,3.48318679757129e-35,2.18442425982566e-34
"PLAGL1","PLAGL1",-1.14358242525906,0.0657012941824223,1.50649121976329e-64,2.78876593916679e-63
"PLAGL2","PLAGL2",0.634167377827987,0.103024799765312,2.80585831882593e-30,1.43647877716065e-29
"PLAU","PLAU",-0.653989428354119,0.266381650284395,1.17493057081298e-07,1.94481971692211e-07
"PLAUR","PLAUR",1.71639461713451,0.221858773062673,1.31724959769591e-63,2.36846253192966e-62
"PLB1","PLB1",1.27489152025623,0.174153992377789,2.39512099649456e-56,3.34221866603456e-55
"PLBD1","PLBD1",3.98779565396014,0.275217194594792,1.06150968266495e-96,5.26464573031705e-95
"PLBD2","PLBD2",0.538821123257463,0.0879992913862789,5.20690989686849e-15,1.34675898527652e-14
"PLCB1","PLCB1",-0.03691746154203,0.107285499971656,0.287950744300097,0.295701640014154
"PLCB2","PLCB2",0.408817264556297,0.15551246778716,2.22414740343805e-10,4.4233962478067e-10
"PLCB3","PLCB3",0.550924990644323,0.111222083445722,1.03600526096267e-17,3.06602949309763e-17
"PLCD1","PLCD1",0.820788018479998,0.106331238953699,3.77672761797741e-28,1.77825905208802e-27
"PLCD3","PLCD3",0.33221516457064,0.226861387483962,1.44529109302808e-08,2.54750479495236e-08
"PLCD4","PLCD4",-0.519679051379918,0.157102160791437,3.02865669386822e-09,5.59436695020382e-09
"PLCE1","PLCE1",-0.267056698526791,0.0753409959769544,0.0131015764217857,0.0148394770338296
"PLCG1","PLCG1",0.43321424159674,0.115307002232117,0.000554403934744045,0.000702103419008231
"PLCG2","PLCG2",0.356404802486545,0.14149986622755,1.80906679176877e-17,5.28554787001072e-17
"PLCH1","PLCH1",-1.63314495310822,0.27830727856073,1.58284775962503e-15,4.21396485860362e-15
"PLCH2","PLCH2",0.785547103535865,0.205547164132214,8.01783344769626e-09,1.43513190267562e-08
"PLCL1","PLCL1",1.30866133139733,0.152450510287302,1.19408352352273e-15,3.19900431701351e-15
"PLCL2","PLCL2",0.610322377993622,0.156548885877096,2.627082637074e-17,7.61387013126172e-17
"PLD1","PLD1",-0.334241198888077,0.164281739333882,1.42314980697487e-07,2.34557631576044e-07
"PLD2","PLD2",2.84524633041799,0.167715937949853,2.60560364255756e-137,5.85179248252126e-135
"PLD3","PLD3",2.31482575538041,0.139388393054772,4.67924262767495e-91,1.94744842647604e-89
"PLD4","PLD4",0.619895670286326,0.149643369306915,0.000743781532586727,0.000932999429063106
"PLD6","PLD6",-0.383069539787362,0.269309876696286,6.98576744842056e-09,1.25644590417875e-08
"PLEC","PLEC",1.68672739643005,0.102887350024502,1.1554139019667e-81,3.77826694371143e-80
"PLEK","PLEK",0.521342451937225,0.138114171810779,1.4746650817231e-16,4.14375317935553e-16
"PLEKHA1","PLEKHA1",0.576659345935165,0.132076621039888,1.87197396577822e-08,3.2748539263166e-08
"PLEKHA2","PLEKHA2",0.404464729848137,0.0568647723621493,4.02498125281357e-21,1.39392935269828e-20
"PLEKHA3","PLEKHA3",-0.055135388172329,0.164345124145178,1.07180994030441e-09,2.04287489502696e-09
"PLEKHA4","PLEKHA4",-0.27932824029702,0.115140549014585,0.0878837682370528,0.0934668060512544
"PLEKHA5","PLEKHA5",-0.799033939513803,0.281139629003942,1.01115696022556e-24,4.17185486917324e-24
"PLEKHA6","PLEKHA6",-2.6635582011935,0.286490192191456,8.11371132244565e-62,1.37379097967383e-60
"PLEKHA7","PLEKHA7",-0.352724662960002,0.196234127251636,0.000279747651196295,0.000362174928452197
"PLEKHA8","PLEKHA8",-0.668089058958167,0.183035438113674,1.34225278256843e-05,1.92329780557505e-05
"PLEKHB1","PLEKHB1",-0.123920919303115,0.149051535632835,0.131530194773015,0.138316450957081
"PLEKHB2","PLEKHB2",0.725004005951274,0.0938301888836709,9.7279304050802e-63,1.69782339606554e-61
"PLEKHF1","PLEKHF1",-0.14644617719948,0.0915550554693501,0.368728322302942,0.376090250246094
"PLEKHF2","PLEKHF2",0.414900113913207,0.17300763489114,7.23990423072469e-20,2.37401046992606e-19
"PLEKHG1","PLEKHG1",0.858954915592336,0.123217205779855,6.45036284458464e-10,1.2472168443647e-09
"PLEKHG2","PLEKHG2",0.858457830634759,0.217660453360793,2.06080348046718e-23,7.94871802592379e-23
"PLEKHG3","PLEKHG3",1.4508511964053,0.134428569123795,3.47069958549473e-24,1.39472441479216e-23
"PLEKHG4","PLEKHG4",-1.25203036617765,0.103493509315246,5.19207327423858e-31,2.74794344967816e-30
